Condition,Up,Forward,Back,Side
Healthy,0.0499381,0.0496731,0.0499935,0.0476018
Condition 1,0.0465118,0.0499086,0.183474,0.0495982
Condition 2,0.48869,0.367937,0.0514441,0.0888348
Condition 3,0.0499071,0.0933464,0.0492404,0.0597382
Condition 4,0.369312,0.235753,0.0488151,0.0501677
Condition 5,0.0496606,0.102312,0.0499808,0.0560629
