# condition_3 evaluation results
# Format: x y z distance
# Total data points: 300
#
0.212220 0.749214 0.328392 0.309620
-0.109725 0.946240 0.604779 0.545440
0.164994 0.873573 0.573797 0.506102
0.540022 1.061082 0.110890 0.740272
0.421478 1.481313 0.354122 1.038460
-0.294486 1.407081 0.556515 0.889938
0.499558 1.378873 0.261728 0.978168
-0.277113 1.646050 0.386373 1.052830
0.192223 0.975824 0.027143 0.495156
0.345144 1.183257 0.273963 0.728453
0.228269 1.573706 0.463732 1.077680
-0.504410 1.505616 0.194194 0.937790
-0.059432 1.167180 0.619281 0.724561
0.024446 1.436783 0.593542 0.953138
0.260206 1.303196 -0.164857 0.866616
-0.044646 1.621371 0.237357 0.998958
0.199650 1.337762 0.354018 0.825318
-0.266359 1.289784 0.346479 0.708780
0.011287 1.407175 0.383624 0.859667
0.070522 1.261603 0.727492 0.870592
-0.347096 1.785867 0.225488 1.193360
-0.259151 1.577873 0.535689 1.031690
0.043289 1.648292 0.576713 1.146000
0.149527 1.196716 0.631234 0.782895
0.220958 0.968793 0.440602 0.520132
0.511111 1.289379 0.125321 0.896581
0.253982 1.615246 0.229816 1.093860
0.079139 1.698419 -0.073421 1.110450
0.390530 1.054136 0.034803 0.649817
0.045353 1.741362 0.148665 1.123030
-0.356155 1.560769 0.186127 0.952451
-0.162976 1.490827 0.461412 0.910712
0.349362 1.221966 -0.294730 0.892115
-0.042822 1.814408 -0.001532 1.201510
0.433712 1.048496 -0.181298 0.753343
-0.357698 1.153087 0.113438 0.550786
0.110926 1.594587 0.179855 1.042590
0.205529 1.158623 0.184053 0.644292
-0.226553 1.419731 0.710554 0.961874
0.491042 1.089041 0.500602 0.781153
0.104140 1.723590 0.289046 1.111270
-0.450169 0.996334 0.397417 0.562410
-0.279292 1.245958 0.626207 0.783257
-0.143781 1.324534 0.573217 0.842902
-0.121824 1.613285 0.380101 1.006380
0.238712 1.303033 0.677972 0.918241
0.083896 1.832052 0.410043 1.230290
-0.558709 1.098137 0.386246 0.667081
-0.569717 1.320178 0.449382 0.887565
0.399152 1.433195 0.025560 0.980832
0.145131 1.389435 -0.332437 0.938332
0.019197 0.774324 0.376067 0.263216
0.164783 0.883145 0.333689 0.383266
0.155040 1.209156 0.494754 0.734206
0.506954 1.016118 -0.056279 0.718497
0.342129 1.466439 0.230911 0.982451
-0.405889 0.781436 0.286755 0.345320
0.373951 1.560711 0.460261 1.111110
0.352140 0.874899 0.367783 0.498323
0.176768 1.154461 0.345447 0.646621
-0.340802 1.681277 0.028582 1.073280
-0.199972 1.777862 0.420222 1.181190
0.298336 1.292138 0.205913 0.800283
-0.094713 1.494114 0.661665 1.029670
-0.295971 0.772542 -0.063798 0.344761
-0.526313 1.030567 0.149697 0.530467
