# condition_4 evaluation results
# Format: x y z distance
# Total data points: 300
#
-0.109725 0.946240 0.604779 0.041088
0.212220 0.749214 0.328392 0.034945
-0.277113 1.646050 0.386373 0.276657
0.024446 1.436783 0.593542 0.058737
-0.059432 1.167180 0.619281 0.080635
-0.504410 1.505616 0.194194 0.360275
0.260206 1.303196 -0.164857 0.037628
0.192223 0.975824 0.027143 0.035490
0.540022 1.061082 0.110890 0.068842
0.345144 1.183257 0.273963 0.042056
0.164994 0.873573 0.573797 0.060705
0.421478 1.481313 0.354122 0.059546
0.199650 1.337762 0.354018 0.048881
0.228269 1.573706 0.463732 0.246218
-0.044646 1.621371 0.237357 0.107180
0.011287 1.407175 0.383624 0.042910
-0.347096 1.785867 0.225488 0.362963
0.070522 1.261603 0.727492 0.038939
-0.259151 1.577873 0.535689 0.302142
0.149527 1.196716 0.631234 0.073838
0.511111 1.289379 0.125321 0.038353
0.220958 0.968793 0.440602 0.035211
-0.162976 1.490827 0.461412 0.118022
0.253982 1.615246 0.229816 0.200406
0.079139 1.698419 -0.073421 0.191974
0.390530 1.054136 0.034803 0.071455
0.045353 1.741362 0.148665 0.224829
-0.356155 1.560769 0.186127 0.228309
0.433712 1.048496 -0.181298 0.034006
0.349362 1.221966 -0.294730 0.048164
-0.042822 1.814408 -0.001532 0.285252
-0.450169 0.996334 0.397417 0.046802
0.104140 1.723590 0.289046 0.240032
-0.279292 1.245958 0.626207 0.043070
0.110926 1.594587 0.179855 0.103971
-0.121824 1.613285 0.380101 0.174871
-0.143781 1.324534 0.573217 0.028659
-0.357698 1.153087 0.113438 0.234790
0.205529 1.158623 0.184053 0.024106
0.491042 1.089041 0.500602 0.060700
0.083896 1.832052 0.410043 0.376889
-0.226553 1.419731 0.710554 0.033711
-0.569717 1.320178 0.449382 0.042213
0.238712 1.303033 0.677972 0.074345
-0.558709 1.098137 0.386246 0.047655
0.399152 1.433195 0.025560 0.037965
0.342129 1.466439 0.230911 0.137603
0.145131 1.389435 -0.332437 0.121181
0.019197 0.774324 0.376067 0.035552
0.155040 1.209156 0.494754 0.041970
0.164783 0.883145 0.333689 0.036025
-0.405889 0.781436 0.286755 0.033758
0.352140 0.874899 0.367783 0.050684
0.506954 1.016118 -0.056279 0.088006
-0.094713 1.494114 0.661665 0.088599
-0.340802 1.681277 0.028582 0.291616
0.176768 1.154461 0.345447 0.033410
-0.199972 1.777862 0.420222 0.351063
0.298336 1.292138 0.205913 0.043250
0.300415 0.824469 0.210606 0.023225
0.370675 1.160631 0.428320 0.037968
0.202637 1.418646 0.088910 0.045886
-0.210499 0.709626 0.158759 0.043980
-0.101350 1.271504 0.695968 0.030088
0.467907 1.099715 0.313661 0.065237
-0.505593 1.181111 0.482918 0.049075
-0.398762 1.550965 0.387882 0.317839
0.221501 1.376024 0.522924 0.040882
-0.216039 1.593359 0.082091 0.123285
0.104924 1.056469 0.709272 0.136798
-0.629033 1.368726 -0.068177 0.512668
0.235067 1.709419 0.048535 0.274031
0.422728 1.461487 -0.154256 0.036686
-0.219059 1.197007 0.509653 0.031615
-0.241905 0.975177 0.508803 0.035880
0.078340 0.967310 0.453602 0.038999
0.232855 1.595341 -0.063198 0.193988
0.039109 1.322953 0.498784 0.013765
-0.026897 1.505504 -0.118610 0.030136
0.153549 1.488018 -0.174213 0.040586
-0.035228 1.182709 0.429601 0.039695
-0.161243 1.846231 0.158872 0.333432
0.503843 1.163596 0.194388 0.046936
0.097679 1.418905 0.220871 0.031823
0.130841 1.524881 0.324623 0.093270
-0.371815 0.959114 0.578285 0.038578
-0.640716 1.362180 0.248181 0.135465
-0.509319 0.892885 0.147384 0.048635
-0.140201 0.659052 0.347706 0.027923
0.468206 0.969487 0.238598 0.036687
-0.530340 1.239982 0.317703 0.118008
-0.326258 0.880713 0.383316 0.036890
-0.084109 0.813633 0.213405 0.038065
-0.068600 1.533942 0.090587 0.047348
-0.200835 1.382795 0.173017 0.071219
-0.091675 1.880369 0.312265 0.379965
-0.207777 0.795366 0.366194 0.032431
-0.205700 1.098515 0.695352 0.125739
-0.040644 1.758511 0.444308 0.322266
-0.006447 0.696181 0.205621 0.037140
0.349031 1.008542 0.410877 0.035785
0.304465 1.446374 0.428690 0.173609
-0.457448 1.289716 0.560314 0.039730
-0.269284 1.831676 0.051565 0.372676
0.384716 1.196484 0.100611 0.024629
0.222845 0.873729 -0.088817 0.041558
0.369005 1.317142 -0.041841 0.022996
-0.304892 1.136208 0.415024 0.048133
-0.435707 1.769699 0.072707 0.404429
0.511258 1.221339 -0.002047 0.036129
0.399909 1.273180 0.534623 0.043643
-0.084768 0.906834 -0.200285 0.191877
-0.290737 1.471346 0.011610 0.267555
0.124270 0.626285 0.258072 0.015539
-0.487268 1.022109 -0.070540 0.222924
-0.231808 1.081723 0.285133 0.049803
-0.148956 1.379693 0.332989 0.049427
0.286596 1.207280 -0.058990 0.028139
0.297138 1.451972 0.630830 0.038794
0.409581 1.287402 -0.190002 0.046107
-0.529108 1.583373 0.022135 0.413989
0.204838 1.346636 -0.025493 0.048633
0.237906 1.013926 0.601995 0.037941
-0.413064 1.677070 0.338568 0.373439
-0.370611 1.223541 0.245478 0.180301
0.318411 0.912492 0.559489 0.039731
-0.070024 1.475697 0.256371 0.043916
-0.260827 0.806330 0.494298 0.034154
0.349176 0.820955 -0.036181 0.041478
-0.111663 1.007251 0.386105 0.033916
0.222699 1.161851 -0.402165 0.086041
-0.365129 1.129716 0.636388 0.040358
-0.143634 0.662986 0.040047 0.031499
0.411030 1.626434 0.239348 0.231742
-0.401907 1.530942 0.544389 0.033815
0.048255 1.225377 -0.129829 0.046929
-0.391811 1.366334 0.379723 0.141404
0.262797 0.983178 0.212092 0.021088
-0.010626 0.600290 0.308025 0.043255
-0.563470 1.462273 0.412008 0.048746
0.008326 1.548837 0.439162 0.149787
-0.537540 1.679815 0.200173 0.443572
0.159704 1.815401 -0.044777 0.323227
-0.618219 1.336188 0.110819 0.237524
-0.475575 1.122643 0.266245 0.117754
0.516465 1.379292 -0.068130 0.040181
0.330027 1.536133 0.098975 0.035294
-0.033930 0.773695 0.572588 0.030890
0.342429 1.661175 0.365570 0.327417
0.297613 1.155201 0.578407 0.072217
0.294927 1.537801 -0.236048 0.283246
-0.367790 1.574266 -0.304977 0.250495
0.559325 1.260446 0.361024 0.052194
-0.213385 1.518185 0.294163 0.121431
0.470439 1.522400 0.117848 0.180606
0.123362 1.013527 -0.212316 0.047679
-0.413429 1.385887 0.003843 0.129652
-0.126718 1.712091 0.140975 0.194378
-0.396629 1.635088 -0.118538 0.218278
0.210553 1.257704 0.085964 0.030775
-0.231994 0.836704 0.626070 0.023595
0.158230 1.710774 0.445885 0.309531
-0.164411 1.761223 -0.035171 0.142620
0.041984 1.054794 0.587588 0.033242
-0.036279 1.212813 -0.317014 0.187750
-0.365999 1.244778 -0.104753 0.376378
0.287625 1.270601 0.455162 0.011714
-0.573409 0.893404 0.013450 0.125021
0.446769 1.172833 -0.115731 0.034658
0.366033 0.954815 0.128335 0.024417
-0.162318 1.338707 -0.335687 0.135037
0.093741 1.140750 0.107275 0.045500
-0.154868 0.652794 -0.100075 0.044751
0.036087 1.047795 -0.337513 0.123249
-0.385235 1.363096 0.649951 0.023497
-0.416437 1.246916 -0.331144 0.331810
0.490479 0.889779 0.088661 0.069412
0.057029 0.888788 0.202946 0.034836
0.338805 1.793037 0.210371 0.391104
0.250171 0.806968 0.487018 0.033830
-0.053524 1.045233 0.712260 0.095211
-0.306129 1.408486 0.259491 0.168471
0.257121 0.661099 0.138430 0.035317
0.247572 1.164980 -0.215217 0.023380
-0.497952 0.888656 0.291645 0.044910
-0.032571 1.882870 0.136206 0.359706
-0.435899 0.833970 0.003648 0.065225
-0.324918 1.346037 0.133888 0.199335
0.292259 1.448245 -0.073144 0.048558
-0.592645 1.568677 0.298880 0.481981
0.099652 1.250758 -0.390021 0.098502
-0.439195 1.058787 -0.285598 0.395204
0.115798 1.452980 -0.010730 0.041209
-0.013722 1.376013 0.708262 0.037547
-0.302679 0.861620 0.243808 0.039471
-0.027155 1.124753 -0.190884 0.059394
-0.365821 1.678375 0.483143 0.402972
0.313331 1.051192 -0.263225 0.041360
0.135919 0.738883 0.459067 0.033769
-0.299630 0.788077 0.090887 0.047954
-0.187065 0.994036 -0.147814 0.287824
-0.069182 1.126947 0.306184 0.047012
0.167282 1.109916 -0.037686 0.033012
-0.498794 0.899987 0.497945 0.031688
-0.144115 1.520137 -0.020873 0.044451
0.093969 1.356003 -0.202484 0.039385
0.070926 1.876686 0.266270 0.372796
-0.665036 1.102391 0.232954 0.203109
-0.591046 1.189219 0.120110 0.254953
0.120649 0.775292 0.096224 0.041527
-0.045709 1.487649 -0.272296 0.047555
-0.151543 0.805461 -0.009112 0.038639
-0.162629 0.990841 -0.318947 0.274696
0.171861 1.619501 -0.201771 0.220569
0.041408 1.562767 0.691895 0.103364
-0.214299 1.014433 -0.012214 0.097030
-0.341561 1.100761 -0.087487 0.262676
0.458842 1.665077 0.116110 0.373216
0.131812 1.037693 0.212313 0.027842
0.416437 0.782899 0.284820 0.053418
-0.269340 1.106504 -0.376248 0.327393
0.041298 0.971468 0.308819 0.025992
0.257738 1.090253 0.065933 0.025024
0.046112 0.849654 0.658394 0.051596
-0.220294 1.680351 -0.173997 0.131994
-0.474497 1.038467 0.526701 0.040891
-0.172609 1.385001 0.030508 0.154698
-0.475866 0.858767 -0.182457 0.264580
0.282419 1.400007 -0.262388 0.080891
-0.294486 1.407081 0.556515 0.042604
0.180117 1.719761 0.177222 0.245556
0.082612 1.182072 -0.254400 0.048677
0.303026 0.985256 -0.079664 0.025358
-0.255717 1.389070 -0.137838 0.083799
-0.628334 1.477602 0.118665 0.473580
0.442508 1.426097 0.483705 0.046453
-0.061076 1.635308 -0.088907 0.037610
-0.042971 1.341345 -0.253696 0.048995
-0.081864 1.740907 0.294133 0.241361
0.096333 1.271438 0.242030 0.029999
-0.478764 1.154605 -0.002988 0.288812
-0.380688 1.442345 -0.117941 0.292188
-0.422419 1.508046 0.072246 0.287578
0.491934 0.934784 0.391829 0.052706
-0.392175 1.007774 0.253898 0.048235
0.415550 0.775200 0.137852 0.035396
-0.235742 1.269961 -0.007250 0.288195
0.319246 1.582837 0.582152 0.138603
0.369624 1.042577 0.547996 0.045343
-0.695728 1.104935 0.089188 0.237675
0.281518 0.918932 -0.239961 0.048721
-0.504958 1.341317 0.189949 0.361776
-0.105902 0.863550 0.477313 0.025598
-0.299391 0.682435 0.289571 0.042823
-0.222015 1.204411 0.139915 0.161383
-0.246370 0.792798 -0.221616 0.160745
0.200812 1.574471 0.077832 0.139060
0.231820 1.772269 0.334741 0.346073
0.071861 1.260181 0.383626 0.014976
0.550948 1.522308 0.227415 0.125450
0.366015 1.658678 -0.137979 0.351198
-0.143238 1.069674 0.551282 0.046311
0.122097 1.334744 0.612771 0.131402
-0.400324 1.011303 0.086632 0.153966
-0.145000 0.907277 0.110410 0.045060
-0.596534 1.201083 -0.074929 0.399703
0.588973 1.416835 0.145093 0.049147
-0.123296 0.947817 0.261780 0.039800
-0.292333 1.463073 0.404346 0.195919
-0.179441 0.692456 0.476647 0.036787
0.337034 1.748623 -0.037819 0.367986
-0.493456 1.290899 -0.175099 0.514550
-0.330009 1.329132 -0.251435 0.216616
-0.314169 0.946725 -0.106247 0.187394
-0.068802 1.352107 0.167858 0.045665
-0.162779 1.204914 0.365379 0.041859
-0.591852 1.070656 0.009045 0.236188
0.052100 1.088498 0.382678 0.013683
-0.598743 0.972000 0.356726 0.176493
0.201931 1.269577 -0.298448 0.048904
-0.283329 0.914346 -0.303244 0.272932
0.043289 1.648292 0.576713 0.242794
-0.266359 1.289784 0.346479 0.088392
0.139178 1.471435 0.452091 0.137582
-0.270109 0.957764 0.140052 0.115563
0.373951 1.560711 0.460261 0.101530
0.041854 1.605887 0.028066 0.084621
-0.295971 0.772542 -0.063798 0.047681
-0.460350 1.268981 0.080978 0.357028
0.173282 1.511089 0.627413 0.138996
0.386717 1.306346 0.363701 0.036867
-0.219243 1.731242 0.268824 0.263630
-0.382634 0.668742 0.131559 0.049220
-0.196401 1.532520 -0.177668 0.046433
0.499558 1.378873 0.261728 0.040690
-0.526313 1.030567 0.149697 0.098040
0.445504 1.655094 -0.028152 0.105384
-0.099768 1.651575 0.543540 0.303249
0.203131 1.842386 0.101941 0.368953
-0.095126 1.346881 -0.110976 0.045327
