# condition_5 evaluation results
# Format: x y z distance
# Total data points: 299
#
0.212220 0.749214 0.328392 0.064523
-0.109725 0.946240 0.604779 0.416832
0.540022 1.061082 0.110890 0.097756
0.164994 0.873573 0.573797 0.311479
-0.504410 1.505616 0.194194 0.675479
0.149527 1.196716 0.631234 0.568549
0.421478 1.481313 0.354122 0.168648
-0.277113 1.646050 0.386373 0.928040
0.024446 1.436783 0.593542 0.787394
-0.059432 1.167180 0.619281 0.576185
0.260206 1.303196 -0.164857 0.032780
0.192223 0.975824 0.027143 0.200860
0.345144 1.183257 0.273963 0.133979
0.199650 1.337762 0.354018 0.204401
-0.044646 1.621371 0.237357 0.157388
-0.347096 1.785867 0.225488 0.951328
-0.162976 1.490827 0.461412 0.809340
-0.356155 1.560769 0.186127 0.652270
0.349362 1.221966 -0.294730 0.039281
0.011287 1.407175 0.383624 0.639581
0.079139 1.698419 -0.073421 0.024688
0.390530 1.054136 0.034803 0.089150
0.045353 1.741362 0.148665 0.008889
-0.450169 0.996334 0.397417 0.383541
-0.279292 1.245958 0.626207 0.289426
-0.143781 1.324534 0.573217 0.694640
-0.121824 1.613285 0.380101 0.911471
0.110926 1.594587 0.179855 0.125228
0.491042 1.089041 0.500602 0.077250
0.083896 1.832052 0.410043 0.187694
-0.569717 1.320178 0.449382 0.685982
0.145131 1.389435 -0.332437 0.116502
0.342129 1.466439 0.230911 0.069020
0.019197 0.774324 0.376067 0.049524
0.164783 0.883145 0.333689 0.110986
0.155040 1.209156 0.494754 0.497836
0.373951 1.560711 0.460261 0.083191
-0.094713 1.494114 0.661665 0.880304
-0.295971 0.772542 -0.063798 0.032884
0.370675 1.160631 0.428320 0.396081
-0.526313 1.030567 0.149697 0.254706
0.300415 0.824469 0.210606 0.048797
-0.405889 0.781436 0.286755 0.052181
0.506954 1.016118 -0.056279 0.100539
0.352140 0.874899 0.367783 0.084760
-0.340802 1.681277 0.028582 0.762623
0.176768 1.154461 0.345447 0.389645
-0.199972 1.777862 0.420222 0.574690
0.139178 1.471435 0.452091 0.124755
-0.210499 0.709626 0.158759 0.042863
-0.270109 0.957764 0.140052 0.211523
-0.216039 1.593359 0.082091 0.516586
0.104924 1.056469 0.709272 0.079903
0.173282 1.511089 0.627413 0.793912
-0.629033 1.368726 -0.068177 0.499738
0.235067 1.709419 0.048535 0.032631
0.422728 1.461487 -0.154256 0.042077
-0.219059 1.197007 0.509653 0.154024
-0.241905 0.975177 0.508803 0.103409
0.039109 1.322953 0.498784 0.645236
0.232855 1.595341 -0.063198 0.048850
-0.219243 1.731242 0.268824 0.553020
0.153549 1.488018 -0.174213 0.137750
-0.026897 1.505504 -0.118610 0.326492
-0.035228 1.182709 0.429601 0.499420
0.097679 1.418905 0.220871 0.289462
-0.371815 0.959114 0.578285 0.113295
-0.640716 1.362180 0.248181 0.601306
-0.161243 1.846231 0.158872 0.768388
-0.509319 0.892885 0.147384 0.153591
-0.140201 0.659052 0.347706 0.045195
0.468206 0.969487 0.238598 0.091417
-0.326258 0.880713 0.383316 0.049727
-0.084109 0.813633 0.213405 0.106806
-0.068600 1.533942 0.090587 0.455131
-0.200835 1.382795 0.173017 0.430887
-0.091675 1.880369 0.312265 1.169370
-0.006447 0.696181 0.205621 0.047515
0.349031 1.008542 0.410877 0.279011
0.304465 1.446374 0.428690 0.046247
-0.460350 1.268981 0.080978 0.412015
-0.269284 1.831676 0.051565 0.728549
0.222845 0.873729 -0.088817 0.036364
0.384716 1.196484 0.100611 0.132460
0.369005 1.317142 -0.041841 0.128233
-0.304892 1.136208 0.415024 0.223494
0.511258 1.221339 -0.002047 0.067782
-0.435707 1.769699 0.072707 0.735102
-0.382634 0.668742 0.131559 0.049687
0.386717 1.306346 0.363701 0.049028
0.399909 1.273180 0.534623 0.547106
0.445504 1.655094 -0.028152 0.045738
-0.290737 1.471346 0.011610 0.402299
-0.148956 1.379693 0.332989 0.673808
-0.231808 1.081723 0.285133 0.077876
0.286596 1.207280 -0.058990 0.104066
0.297138 1.451972 0.630830 0.049002
-0.529108 1.583373 0.022135 0.701315
0.204838 1.346636 -0.025493 0.041582
0.237906 1.013926 0.601995 0.095327
-0.413064 1.677070 0.338568 0.893209
-0.370611 1.223541 0.245478 0.457027
0.318411 0.912492 0.559489 0.189385
-0.070024 1.475697 0.256371 0.283061
-0.260827 0.806330 0.494298 0.116552
-0.196401 1.532520 -0.177668 0.378325
-0.099768 1.651575 0.543540 0.984427
0.222699 1.161851 -0.402165 0.077858
-0.365129 1.129716 0.636388 0.309668
-0.537540 1.679815 0.200173 0.840125
-0.143634 0.662986 0.040047 0.036194
0.048255 1.225377 -0.129829 0.029517
0.262797 0.983178 0.212092 0.153962
0.411030 1.626434 0.239348 0.044531
0.008326 1.548837 0.439162 0.847173
0.159704 1.815401 -0.044777 0.041663
-0.010626 0.600290 0.308025 0.034675
-0.391811 1.366334 0.379723 0.666597
-0.401907 1.530942 0.544389 0.545432
-0.563470 1.462273 0.412008 0.777776
0.203131 1.842386 0.101941 0.080935
-0.033930 0.773695 0.572588 0.058594
0.297613 1.155201 0.578407 0.505028
-0.095126 1.346881 -0.110976 0.177239
0.342429 1.661175 0.365570 0.137918
-0.365999 1.244778 -0.104753 0.359832
0.490479 0.889779 0.088661 0.106126
0.338805 1.793037 0.210371 0.106164
0.057029 0.888788 0.202946 0.170746
-0.231994 0.836704 0.626070 0.412335
0.158230 1.710774 0.445885 0.171422
0.041984 1.054794 0.587588 0.100180
-0.036279 1.212813 -0.317014 0.114228
-0.413429 1.385887 0.003843 0.503631
-0.396629 1.635088 -0.118538 0.711747
0.124270 0.626285 0.258072 0.044763
-0.487268 1.022109 -0.070540 0.132790
-0.126718 1.712091 0.140975 0.632943
0.210553 1.257704 0.085964 0.306155
-0.306129 1.408486 0.259491 0.630393
-0.053524 1.045233 0.712260 0.236196
0.247572 1.164980 -0.215217 0.061557
0.257121 0.661099 0.138430 0.035223
-0.497952 0.888656 0.291645 0.264948
0.250171 0.806968 0.487018 0.184293
