# condition_17 evaluation results
# Format: x y z distance
# Total data points: 302
#
-0.109725 0.946240 0.604779 0.056891
0.212220 0.749214 0.328392 0.040064
0.164994 0.873573 0.573797 0.056343
0.421478 1.481313 0.354122 0.311335
0.499558 1.378873 0.261728 0.193620
0.228269 1.573706 0.463732 0.337586
-0.277113 1.646050 0.386373 0.255218
-0.504410 1.505616 0.194194 0.343769
-0.059432 1.167180 0.619281 0.024331
0.345144 1.183257 0.273963 0.029830
0.199650 1.337762 0.354018 0.055784
-0.044646 1.621371 0.237357 0.082967
0.011287 1.407175 0.383624 0.039096
0.070522 1.261603 0.727492 0.067719
-0.266359 1.289784 0.346479 0.093971
0.043289 1.648292 0.576713 0.044908
-0.347096 1.785867 0.225488 0.347378
0.149527 1.196716 0.631234 0.074243
0.220958 0.968793 0.440602 0.037393
0.253982 1.615246 0.229816 0.283037
0.390530 1.054136 0.034803 0.041992
0.433712 1.048496 -0.181298 0.047050
-0.042822 1.814408 -0.001532 0.462542
0.205529 1.158623 0.184053 0.036456
0.300415 0.824469 0.210606 0.050565
-0.210499 0.709626 0.158759 0.036006
0.078340 0.967310 0.453602 0.032649
-0.326258 0.880713 0.383316 0.049105
-0.091675 1.880369 0.312265 0.047415
-0.509319 0.892885 0.147384 0.064693
-0.207777 0.795366 0.366194 0.037463
-0.006447 0.696181 0.205621 0.043716
0.222845 0.873729 -0.088817 0.035779
0.286596 1.207280 -0.058990 0.050625
-0.231808 1.081723 0.285133 0.049279
0.204838 1.346636 -0.025493 0.048564
-0.260827 0.806330 0.494298 0.045418
-0.099768 1.651575 0.543540 0.049564
-0.196401 1.532520 -0.177668 0.267992
0.349176 0.820955 -0.036181 0.034882
-0.111663 1.007251 0.386105 0.032449
0.262797 0.983178 0.212092 0.035333
-0.143634 0.662986 0.040047 0.044177
-0.010626 0.600290 0.308025 0.045932
0.342429 1.661175 0.365570 0.409589
-0.618219 1.336188 0.110819 0.492397
0.123362 1.013527 -0.212316 0.023833
-0.413429 1.385887 0.003843 0.359674
-0.396629 1.635088 -0.118538 0.200286
0.124270 0.626285 0.258072 0.047886
0.041984 1.054794 0.587588 0.037004
-0.306129 1.408486 0.259491 0.149066
-0.497952 0.888656 0.291645 0.050204
0.292259 1.448245 -0.073144 0.075420
-0.324918 1.346037 0.133888 0.175730
-0.439195 1.058787 -0.285598 0.332031
