# condition_12 evaluation results
# Format: x y z distance
# Total data points: 300
#
0.415550 0.775200 0.137852 0.028587
-0.299391 0.682435 0.289571 0.037646
-0.222015 1.204411 0.139915 0.158943
-0.246370 0.792798 -0.221616 0.051685
0.071861 1.260181 0.383626 0.031302
-0.145000 0.907277 0.110410 0.046076
0.588973 1.416835 0.145093 0.046803
-0.292333 1.463073 0.404346 0.049893
-0.179441 0.692456 0.476647 0.030679
0.287625 1.270601 0.455162 0.020795
-0.573409 0.893404 0.013450 0.050841
-0.162318 1.338707 -0.335687 0.126483
0.446769 1.172833 -0.115731 0.049864
0.093741 1.140750 0.107275 0.042948
0.036087 1.047795 -0.337513 0.096512
-0.416437 1.246916 -0.331144 0.316855
-0.493456 1.290899 -0.175099 0.367674
-0.330009 1.329132 -0.251435 0.392449
-0.314169 0.946725 -0.106247 0.049433
-0.162779 1.204914 0.365379 0.046555
0.052100 1.088498 0.382678 0.029005
-0.591852 1.070656 0.009045 0.094279
-0.283329 0.914346 -0.303244 0.181605
-0.154868 0.652794 -0.100075 0.045916
-0.123296 0.947817 0.261780 0.042117
0.337034 1.748623 -0.037819 0.047382
0.231820 1.772269 0.334741 0.321965
0.550948 1.522308 0.227415 0.047597
0.366015 1.658678 -0.137979 0.139689
-0.302679 0.861620 0.243808 0.047926
-0.497952 0.888656 0.291645 0.045227
-0.214299 1.014433 -0.012214 0.091178
0.491934 0.934784 0.391829 0.034187
-0.365821 1.678375 0.483143 0.075060
0.516465 1.379292 -0.068130 0.048102
-0.040644 1.758511 0.444308 0.493029
0.349176 0.820955 -0.036181 0.038391
-0.367790 1.574266 -0.304977 0.051882
0.130841 1.524881 0.324623 0.029701
-0.457448 1.289716 0.560314 0.046192
0.235067 1.709419 0.048535 0.069401
-0.027155 1.124753 -0.190884 0.051812
0.153549 1.488018 -0.174213 0.030164
0.203131 1.842386 0.101941 0.042759
0.416437 0.782899 0.284820 0.066752
-0.081864 1.740907 0.294133 0.171349
-0.084109 0.813633 0.213405 0.031059
0.221501 1.376024 0.522924 0.033142
-0.505593 1.181111 0.482918 0.049534
-0.210499 0.709626 0.158759 0.030307
-0.498794 0.899987 0.497945 0.028362
-0.530340 1.239982 0.317703 0.103216
-0.340802 1.681277 0.028582 0.163336
-0.094713 1.494114 0.661665 0.043086
0.019197 0.774324 0.376067 0.039127
0.011287 1.407175 0.383624 0.032749
0.349031 1.008542 0.410877 0.059999
0.506954 1.016118 -0.056279 0.043500
-0.529108 1.583373 0.022135 0.267401
0.173282 1.511089 0.627413 0.021095
0.048255 1.225377 -0.129829 0.042881
-0.290737 1.471346 0.011610 0.116492
-0.304892 1.136208 0.415024 0.049446
-0.032571 1.882870 0.136206 0.044423
-0.091675 1.880369 0.312265 0.067143
-0.370611 1.223541 0.245478 0.170106
-0.061076 1.635308 -0.088907 0.038866
0.399152 1.433195 0.025560 0.219714
-0.628334 1.477602 0.118665 0.276565
0.041408 1.562767 0.691895 0.034875
-0.509319 0.892885 0.147384 0.048420
-0.172609 1.385001 0.030508 0.358354
0.041298 0.971468 0.308819 0.037781
0.411030 1.626434 0.239348 0.083248
0.104140 1.723590 0.289046 0.254243
-0.598743 0.972000 0.356726 0.045255
-0.068802 1.352107 0.167858 0.049167
0.490479 0.889779 0.088661 0.032602
-0.231994 0.836704 0.626070 0.041484
-0.450169 0.996334 0.397417 0.048560
0.366033 0.954815 0.128335 0.024643
-0.111663 1.007251 0.386105 0.025849
-0.216039 1.593359 0.082091 0.150411
0.159704 1.815401 -0.044777 0.075749
-0.269340 1.106504 -0.376248 0.280634
