# condition_1 evaluation results
# Format: x y z distance
# Total data points: 300
#
0.212220 0.749214 0.328392 0.010841
-0.109725 0.946240 0.604779 0.048770
0.164994 0.873573 0.573797 0.044480
0.540022 1.061082 0.110890 0.039091
0.421478 1.481313 0.354122 0.037322
0.228269 1.573706 0.463732 0.049465
0.499558 1.378873 0.261728 0.024678
-0.277113 1.646050 0.386373 0.036786
-0.504410 1.505616 0.194194 0.162354
-0.294486 1.407081 0.556515 0.042920
0.024446 1.436783 0.593542 0.048844
-0.059432 1.167180 0.619281 0.093380
0.192223 0.975824 0.027143 0.022918
0.011287 1.407175 0.383624 0.036820
0.260206 1.303196 -0.164857 0.054331
0.345144 1.183257 0.273963 0.021742
0.199650 1.337762 0.354018 0.036192
-0.044646 1.621371 0.237357 0.041331
0.070522 1.261603 0.727492 0.034968
0.043289 1.648292 0.576713 0.059730
-0.259151 1.577873 0.535689 0.089503
-0.347096 1.785867 0.225488 0.048818
0.149527 1.196716 0.631234 0.049049
0.511111 1.289379 0.125321 0.043469
0.220958 0.968793 0.440602 0.020578
0.390530 1.054136 0.034803 0.025935
0.079139 1.698419 -0.073421 0.138782
0.253982 1.615246 0.229816 0.065580
0.045353 1.741362 0.148665 0.039755
-0.162976 1.490827 0.461412 0.071487
-0.356155 1.560769 0.186127 0.206938
0.349362 1.221966 -0.294730 0.047732
0.433712 1.048496 -0.181298 0.048663
-0.042822 1.814408 -0.001532 0.019778
0.104140 1.723590 0.289046 0.211503
-0.450169 0.996334 0.397417 0.049404
-0.279292 1.245958 0.626207 0.111953
-0.143781 1.324534 0.573217 0.027855
-0.121824 1.613285 0.380101 0.024289
0.110926 1.594587 0.179855 0.057710
-0.357698 1.153087 0.113438 0.164381
0.205529 1.158623 0.184053 0.015034
0.491042 1.089041 0.500602 0.050524
-0.226553 1.419731 0.710554 0.029857
0.238712 1.303033 0.677972 0.035982
-0.569717 1.320178 0.449382 0.044085
-0.558709 1.098137 0.386246 0.046460
0.399152 1.433195 0.025560 0.094187
0.145131 1.389435 -0.332437 0.042870
0.342129 1.466439 0.230911 0.039830
0.164783 0.883145 0.333689 0.021877
0.019197 0.774324 0.376067 0.050781
0.155040 1.209156 0.494754 0.014319
0.506954 1.016118 -0.056279 0.036766
-0.405889 0.781436 0.286755 0.037728
0.352140 0.874899 0.367783 0.047879
-0.526313 1.030567 0.149697 0.077293
-0.270109 0.957764 0.140052 0.049311
0.300415 0.824469 0.210606 0.027036
0.370675 1.160631 0.428320 0.029831
0.139178 1.471435 0.452091 0.039239
0.202637 1.418646 0.088910 0.031812
0.373951 1.560711 0.460261 0.079105
-0.295971 0.772542 -0.063798 0.048929
-0.199972 1.777862 0.420222 0.032654
0.176768 1.154461 0.345447 0.032715
0.298336 1.292138 0.205913 0.037651
-0.094713 1.494114 0.661665 0.032121
-0.216039 1.593359 0.082091 0.148879
-0.210499 0.709626 0.158759 0.042492
0.467907 1.099715 0.313661 0.033312
-0.505593 1.181111 0.482918 0.043726
-0.101350 1.271504 0.695968 0.044087
0.221501 1.376024 0.522924 0.069931
-0.398762 1.550965 0.387882 0.048998
0.104924 1.056469 0.709272 0.041166
0.173282 1.511089 0.627413 0.031512
-0.629033 1.368726 -0.068177 0.341488
0.235067 1.709419 0.048535 0.120085
0.422728 1.461487 -0.154256 0.058251
-0.219059 1.197007 0.509653 0.034253
-0.241905 0.975177 0.508803 0.050083
0.078340 0.967310 0.453602 0.022667
