# condition_15 evaluation results
# Format: x y z distance
# Total data points: 301
#
0.212220 0.749214 0.328392 0.061782
-0.109725 0.946240 0.604779 0.045265
-0.059432 1.167180 0.619281 0.057151
0.260206 1.303196 -0.164857 0.032968
0.192223 0.975824 0.027143 0.036395
0.345144 1.183257 0.273963 0.029783
0.199650 1.337762 0.354018 0.034430
-0.044646 1.621371 0.237357 0.062609
0.070522 1.261603 0.727492 0.027086
0.149527 1.196716 0.631234 0.020515
-0.259151 1.577873 0.535689 0.023349
0.511111 1.289379 0.125321 0.042005
0.220958 0.968793 0.440602 0.037353
0.104140 1.723590 0.289046 0.306674
0.390530 1.054136 0.034803 0.035418
0.491042 1.089041 0.500602 0.058678
-0.226553 1.419731 0.710554 0.025965
0.164783 0.883145 0.333689 0.019544
0.506954 1.016118 -0.056279 0.035592
0.019197 0.774324 0.376067 0.004957
-0.094713 1.494114 0.661665 0.049670
-0.199972 1.777862 0.420222 0.044380
-0.210499 0.709626 0.158759 0.046198
0.467907 1.099715 0.313661 0.013051
-0.509319 0.892885 0.147384 0.044781
-0.084109 0.813633 0.213405 0.039068
-0.207777 0.795366 0.366194 0.027954
-0.006447 0.696181 0.205621 0.031804
0.222845 0.873729 -0.088817 0.042299
0.262797 0.983178 0.212092 0.017057
0.411030 1.626434 0.239348 0.083271
-0.010626 0.600290 0.308025 0.036943
0.048255 1.225377 -0.129829 0.043010
-0.391811 1.366334 0.379723 0.094186
-0.033930 0.773695 0.572588 0.027663
-0.164411 1.761223 -0.035171 0.028570
0.041984 1.054794 0.587588 0.037649
0.490479 0.889779 0.088661 0.036580
0.257121 0.661099 0.138430 0.062099
0.250171 0.806968 0.487018 0.040140
0.120649 0.775292 0.096224 0.014974
0.257738 1.090253 0.065933 0.042386
0.131812 1.037693 0.212313 0.030402
-0.151543 0.805461 -0.009112 0.027630
0.416437 0.782899 0.284820 0.052556
-0.504958 1.341317 0.189949 0.186015
-0.235742 1.269961 -0.007250 0.243020
0.281518 0.918932 -0.239961 0.032594
-0.695728 1.104935 0.089188 0.049790
0.369624 1.042577 0.547996 0.024591
-0.222015 1.204411 0.139915 0.159853
-0.105902 0.863550 0.477313 0.023788
-0.299391 0.682435 0.289571 0.033941
-0.400324 1.011303 0.086632 0.119111
-0.143238 1.069674 0.551282 0.030767
0.588973 1.416835 0.145093 0.037409
-0.573409 0.893404 0.013450 0.071594
0.287625 1.270601 0.455162 0.040529
-0.154868 0.652794 -0.100075 0.045920
