# condition_4 evaluation results
# Format: x y z distance
# Total data points: 299
#
0.228269 1.573706 0.463732 0.155741
0.212220 0.749214 0.328392 0.023202
-0.109725 0.946240 0.604779 0.035104
0.164994 0.873573 0.573797 0.052680
0.540022 1.061082 0.110890 0.097771
0.421478 1.481313 0.354122 0.269319
0.499558 1.378873 0.261728 0.158293
-0.277113 1.646050 0.386373 0.053165
-0.294486 1.407081 0.556515 0.086529
-0.059432 1.167180 0.619281 0.102616
0.260206 1.303196 -0.164857 0.047031
0.192223 0.975824 0.027143 0.029829
0.199650 1.337762 0.354018 0.048524
0.345144 1.183257 0.273963 0.093788
-0.044646 1.621371 0.237357 0.321608
0.011287 1.407175 0.383624 0.051195
0.070522 1.261603 0.727492 0.056026
-0.266359 1.289784 0.346479 0.221112
0.043289 1.648292 0.576713 0.140900
-0.347096 1.785867 0.225488 0.420106
0.149527 1.196716 0.631234 0.067689
-0.259151 1.577873 0.535689 0.123235
0.511111 1.289379 0.125321 0.112943
0.220958 0.968793 0.440602 0.035272
0.253982 1.615246 0.229816 0.366862
0.079139 1.698419 -0.073421 0.331451
0.390530 1.054136 0.034803 0.053663
0.045353 1.741362 0.148665 0.229154
-0.356155 1.560769 0.186127 0.524190
-0.450169 0.996334 0.397417 0.049629
0.349362 1.221966 -0.294730 0.047900
-0.162976 1.490827 0.461412 0.046107
-0.279292 1.245958 0.626207 0.069880
-0.042822 1.814408 -0.001532 0.050989
0.104140 1.723590 0.289046 0.095356
0.491042 1.089041 0.500602 0.086907
-0.226553 1.419731 0.710554 0.100989
-0.569717 1.320178 0.449382 0.050202
0.399152 1.433195 0.025560 0.207354
-0.558709 1.098137 0.386246 0.048750
0.433712 1.048496 -0.181298 0.063852
-0.143781 1.324534 0.573217 0.131333
-0.121824 1.613285 0.380101 0.192401
0.110926 1.594587 0.179855 0.100826
-0.357698 1.153087 0.113438 0.202610
0.205529 1.158623 0.184053 0.046094
0.145131 1.389435 -0.332437 0.044760
0.373951 1.560711 0.460261 0.126362
0.352140 0.874899 0.367783 0.017698
-0.340802 1.681277 0.028582 0.679428
0.342129 1.466439 0.230911 0.165368
0.019197 0.774324 0.376067 0.031945
0.155040 1.209156 0.494754 0.054760
0.164783 0.883145 0.333689 0.044015
0.506954 1.016118 -0.056279 0.051508
0.176768 1.154461 0.345447 0.039945
0.298336 1.292138 0.205913 0.063363
-0.199972 1.777862 0.420222 0.133117
-0.094713 1.494114 0.661665 0.048758
-0.295971 0.772542 -0.063798 0.049798
0.300415 0.824469 0.210606 0.033597
-0.526313 1.030567 0.149697 0.085454
-0.241905 0.975177 0.508803 0.055924
0.078340 0.967310 0.453602 0.037255
0.039109 1.322953 0.498784 0.048810
-0.219243 1.731242 0.268824 0.302694
0.232855 1.595341 -0.063198 0.394419
0.139178 1.471435 0.452091 0.214609
