# condition_14 evaluation results
# Format: x y z distance
# Total data points: 301
#
0.212220 0.749214 0.328392 0.046915
-0.109725 0.946240 0.604779 0.060253
0.540022 1.061082 0.110890 0.041075
0.164994 0.873573 0.573797 0.031252
0.228269 1.573706 0.463732 0.048069
0.421478 1.481313 0.354122 0.056658
0.499558 1.378873 0.261728 0.060516
-0.277113 1.646050 0.386373 0.043804
-0.294486 1.407081 0.556515 0.049734
-0.504410 1.505616 0.194194 0.240349
0.024446 1.436783 0.593542 0.085247
-0.059432 1.167180 0.619281 0.020913
0.260206 1.303196 -0.164857 0.048147
0.192223 0.975824 0.027143 0.031708
-0.266359 1.289784 0.346479 0.052210
0.345144 1.183257 0.273963 0.029986
0.199650 1.337762 0.354018 0.034419
-0.044646 1.621371 0.237357 0.237887
0.011287 1.407175 0.383624 0.039883
-0.347096 1.785867 0.225488 0.044168
0.070522 1.261603 0.727492 0.047528
0.043289 1.648292 0.576713 0.401434
0.511111 1.289379 0.125321 0.108901
0.149527 1.196716 0.631234 0.042196
0.220958 0.968793 0.440602 0.032523
0.079139 1.698419 -0.073421 0.080256
0.253982 1.615246 0.229816 0.244466
0.390530 1.054136 0.034803 0.039894
0.045353 1.741362 0.148665 0.110631
-0.356155 1.560769 0.186127 0.173119
-0.162976 1.490827 0.461412 0.047797
0.349362 1.221966 -0.294730 0.049587
-0.042822 1.814408 -0.001532 0.021496
-0.143781 1.324534 0.573217 0.043863
-0.558709 1.098137 0.386246 0.047628
0.399152 1.433195 0.025560 0.158787
0.145131 1.389435 -0.332437 0.046695
0.019197 0.774324 0.376067 0.015889
0.342129 1.466439 0.230911 0.067277
0.104140 1.723590 0.289046 0.364079
-0.450169 0.996334 0.397417 0.048811
-0.279292 1.245958 0.626207 0.046315
-0.357698 1.153087 0.113438 0.307997
0.205529 1.158623 0.184053 0.016860
0.491042 1.089041 0.500602 0.056303
-0.226553 1.419731 0.710554 0.071802
0.238712 1.303033 0.677972 0.046165
0.083896 1.832052 0.410043 0.073700
-0.569717 1.320178 0.449382 0.051749
0.164783 0.883145 0.333689 0.037734
0.352140 0.874899 0.367783 0.065784
