# condition_11 evaluation results
# Format: x y z distance
# Total data points: 300
#
-0.270109 0.957764 0.140052 0.049202
0.202637 1.418646 0.088910 0.041478
-0.526313 1.030567 0.149697 0.072808
-0.266359 1.289784 0.346479 0.049923
0.149527 1.196716 0.631234 0.041001
0.220958 0.968793 0.440602 0.017283
-0.558709 1.098137 0.386246 0.047017
0.540022 1.061082 0.110890 0.030277
0.145131 1.389435 -0.332437 0.048357
0.342129 1.466439 0.230911 0.030407
-0.059432 1.167180 0.619281 0.037338
0.079139 1.698419 -0.073421 0.035553
-0.044646 1.621371 0.237357 0.053988
-0.101350 1.271504 0.695968 0.054920
-0.294486 1.407081 0.556515 0.041545
-0.219243 1.731242 0.268824 0.184691
0.499558 1.378873 0.261728 0.042597
0.506954 1.016118 -0.056279 0.034980
-0.279292 1.245958 0.626207 0.038621
0.345144 1.183257 0.273963 0.044424
-0.143781 1.324534 0.573217 0.041054
0.083896 1.832052 0.410043 0.047369
0.390530 1.054136 0.034803 0.031948
-0.226553 1.419731 0.710554 0.025273
-0.210499 0.709626 0.158759 0.038897
-0.199972 1.777862 0.420222 0.042629
0.139178 1.471435 0.452091 0.031037
0.370675 1.160631 0.428320 0.025538
0.349362 1.221966 -0.294730 0.049305
-0.216039 1.593359 0.082091 0.046844
-0.340802 1.681277 0.028582 0.047336
-0.277113 1.646050 0.386373 0.062157
0.104924 1.056469 0.709272 0.043943
-0.121824 1.613285 0.380101 0.019613
0.110926 1.594587 0.179855 0.044666
-0.094713 1.494114 0.661665 0.242719
0.155040 1.209156 0.494754 0.025230
0.176768 1.154461 0.345447 0.036322
-0.569717 1.320178 0.449382 0.045928
0.235067 1.709419 0.048535 0.113071
0.352140 0.874899 0.367783 0.036732
0.238712 1.303033 0.677972 0.086277
-0.162976 1.490827 0.461412 0.030912
-0.219059 1.197007 0.509653 0.037319
-0.505593 1.181111 0.482918 0.046702
-0.629033 1.368726 -0.068177 0.327463
-0.140201 0.659052 0.347706 0.029497
0.503843 1.163596 0.194388 0.039945
-0.640716 1.362180 0.248181 0.065332
-0.371815 0.959114 0.578285 0.037378
-0.161243 1.846231 0.158872 0.047034
0.097679 1.418905 0.220871 0.024868
0.104140 1.723590 0.289046 0.330747
0.468206 0.969487 0.238598 0.032036
-0.035228 1.182709 0.429601 0.035063
0.298336 1.292138 0.205913 0.024556
-0.241905 0.975177 0.508803 0.016962
0.422728 1.461487 -0.154256 0.058244
0.078340 0.967310 0.453602 0.017237
0.039109 1.322953 0.498784 0.053127
-0.509319 0.892885 0.147384 0.045359
0.043289 1.648292 0.576713 0.031242
-0.347096 1.785867 0.225488 0.047621
0.130841 1.524881 0.324623 0.026699
-0.200835 1.382795 0.173017 0.053457
0.445504 1.655094 -0.028152 0.047798
0.384716 1.196484 0.100611 0.037782
-0.304892 1.136208 0.415024 0.049764
-0.382634 0.668742 0.131559 0.033058
0.399909 1.273180 0.534623 0.132585
0.222845 0.873729 -0.088817 0.040058
-0.040644 1.758511 0.444308 0.057077
-0.091675 1.880369 0.312265 0.049285
0.041854 1.605887 0.028066 0.033797
-0.326258 0.880713 0.383316 0.038257
-0.006447 0.696181 0.205621 0.040812
-0.084768 0.906834 -0.200285 0.170719
-0.457448 1.289716 0.560314 0.041746
-0.460350 1.268981 0.080978 0.263055
0.349031 1.008542 0.410877 0.019348
-0.207777 0.795366 0.366194 0.033057
-0.530340 1.239982 0.317703 0.088722
-0.290737 1.471346 0.011610 0.014542
0.409581 1.287402 -0.190002 0.048703
0.297138 1.451972 0.630830 0.028426
0.286596 1.207280 -0.058990 0.026681
-0.231808 1.081723 0.285133 0.048576
0.204838 1.346636 -0.025493 0.049073
0.237906 1.013926 0.601995 0.026853
-0.370611 1.223541 0.245478 0.147697
-0.070024 1.475697 0.256371 0.030895
0.318411 0.912492 0.559489 0.073197
-0.111663 1.007251 0.386105 0.028580
-0.099768 1.651575 0.543540 0.113553
0.349176 0.820955 -0.036181 0.031957
0.222699 1.161851 -0.402165 0.060605
0.048255 1.225377 -0.129829 0.044008
0.411030 1.626434 0.239348 0.058692
0.008326 1.548837 0.439162 0.019207
0.159704 1.815401 -0.044777 0.053914
0.262797 0.983178 0.212092 0.029201
-0.401907 1.530942 0.544389 0.039514
-0.537540 1.679815 0.200173 0.081672
-0.010626 0.600290 0.308025 0.031113
-0.563470 1.462273 0.412008 0.046177
-0.391811 1.366334 0.379723 0.095773
0.297613 1.155201 0.578407 0.039400
0.203131 1.842386 0.101941 0.060114
0.342429 1.661175 0.365570 0.117964
-0.095126 1.346881 -0.110976 0.122484
-0.618219 1.336188 0.110819 0.172796
0.330027 1.536133 0.098975 0.094760
-0.475575 1.122643 0.266245 0.126813
-0.367790 1.574266 -0.304977 0.050676
-0.213385 1.518185 0.294163 0.049560
0.559325 1.260446 0.361024 0.053797
0.470439 1.522400 0.117848 0.063236
0.123362 1.013527 -0.212316 0.049459
-0.126718 1.712091 0.140975 0.023961
-0.487268 1.022109 -0.070540 0.075858
0.210553 1.257704 0.085964 0.016656
-0.231994 0.836704 0.626070 0.012529
0.041984 1.054794 0.587588 0.020520
-0.365999 1.244778 -0.104753 0.285925
0.490479 0.889779 0.088661 0.036411
0.338805 1.793037 0.210371 0.046457
0.257121 0.661099 0.138430 0.037159
-0.497952 0.888656 0.291645 0.041580
-0.032571 1.882870 0.136206 0.044393
-0.435899 0.833970 0.003648 0.047744
0.292259 1.448245 -0.073144 0.029830
-0.324918 1.346037 0.133888 0.177340
0.099652 1.250758 -0.390021 0.082247
-0.439195 1.058787 -0.285598 0.067534
0.115798 1.452980 -0.010730 0.037302
-0.013722 1.376013 0.708262 0.036833
-0.027155 1.124753 -0.190884 0.054082
-0.365821 1.678375 0.483143 0.059122
-0.187065 0.994036 -0.147814 0.235572
0.135919 0.738883 0.459067 0.033334
-0.069182 1.126947 0.306184 0.047741
0.167282 1.109916 -0.037686 0.036447
-0.299630 0.788077 0.090887 0.047067
0.070926 1.876686 0.266270 0.046014
-0.665036 1.102391 0.232954 0.048654
-0.591046 1.189219 0.120110 0.100141
-0.144115 1.520137 -0.020873 0.044330
-0.162629 0.990841 -0.318947 0.260083
-0.151543 0.805461 -0.009112 0.051162
0.416437 0.782899 0.284820 0.041346
0.257738 1.090253 0.065933 0.007752
-0.172609 1.385001 0.030508 0.130969
0.046112 0.849654 0.658394 0.107680
-0.474497 1.038467 0.526701 0.037593
0.458842 1.665077 0.116110 0.046545
0.041408 1.562767 0.691895 0.050012
0.171861 1.619501 -0.201771 0.027343
0.282419 1.400007 -0.262388 0.047427
0.082612 1.182072 -0.254400 0.048824
0.180117 1.719761 0.177222 0.178468
0.442508 1.426097 0.483705 0.033170
0.303026 0.985256 -0.079664 0.026636
-0.628334 1.477602 0.118665 0.240412
-0.061076 1.635308 -0.088907 0.026291
-0.042971 1.341345 -0.253696 0.045215
-0.081864 1.740907 0.294133 0.087798
-0.478764 1.154605 -0.002988 0.191768
-0.380688 1.442345 -0.117941 0.473262
-0.422419 1.508046 0.072246 0.128296
0.491934 0.934784 0.391829 0.019836
-0.235742 1.269961 -0.007250 0.256770
-0.105902 0.863550 0.477313 0.036122
0.319246 1.582837 0.582152 0.043574
0.415550 0.775200 0.137852 0.030455
0.200812 1.574471 0.077832 0.008531
0.366015 1.658678 -0.137979 0.109683
0.231820 1.772269 0.334741 0.264862
0.550948 1.522308 0.227415 0.047279
0.588973 1.416835 0.145093 0.044776
-0.123296 0.947817 0.261780 0.038679
-0.179441 0.692456 0.476647 0.030658
0.287625 1.270601 0.455162 0.036741
-0.573409 0.893404 0.013450 0.049060
0.366033 0.954815 0.128335 0.017884
-0.154868 0.652794 -0.100075 0.047623
0.036087 1.047795 -0.337513 0.084033
-0.385235 1.363096 0.649951 0.026555
-0.314169 0.946725 -0.106247 0.111051
0.337034 1.748623 -0.037819 0.047387
-0.068802 1.352107 0.167858 0.049484
-0.162779 1.204914 0.365379 0.040786
-0.598743 0.972000 0.356726 0.030819
0.052100 1.088498 0.382678 0.026164
0.446769 1.172833 -0.115731 0.041665
-0.292333 1.463073 0.404346 0.049631
0.201931 1.269577 -0.298448 0.048529
-0.392175 1.007774 0.253898 0.049146
-0.400324 1.011303 0.086632 0.137351
-0.596534 1.201083 -0.074929 0.184322
0.247572 1.164980 -0.215217 0.045096
-0.475866 0.858767 -0.182457 0.051745
-0.306129 1.408486 0.259491 0.154785
