# condition_16 evaluation results
# Format: x y z distance
# Total data points: 300
#
-0.059432 1.167180 0.619281 0.100938
0.024446 1.436783 0.593542 0.049919
0.228269 1.573706 0.463732 0.077216
-0.109725 0.946240 0.604779 0.060935
0.499558 1.378873 0.261728 0.284312
0.421478 1.481313 0.354122 0.158296
0.164994 0.873573 0.573797 0.047695
0.212220 0.749214 0.328392 0.025610
0.540022 1.061082 0.110890 0.050246
-0.294486 1.407081 0.556515 0.053792
-0.504410 1.505616 0.194194 0.455997
-0.277113 1.646050 0.386373 0.307891
0.192223 0.975824 0.027143 0.043760
0.011287 1.407175 0.383624 0.041421
0.345144 1.183257 0.273963 0.048475
0.199650 1.337762 0.354018 0.197020
-0.044646 1.621371 0.237357 0.140242
-0.266359 1.289784 0.346479 0.109266
0.043289 1.648292 0.576713 0.136553
-0.259151 1.577873 0.535689 0.117226
-0.347096 1.785867 0.225488 0.407619
0.149527 1.196716 0.631234 0.047344
0.511111 1.289379 0.125321 0.049739
0.220958 0.968793 0.440602 0.034234
0.253982 1.615246 0.229816 0.219779
0.079139 1.698419 -0.073421 0.100329
0.390530 1.054136 0.034803 0.048421
0.045353 1.741362 0.148665 0.323553
-0.356155 1.560769 0.186127 0.339679
0.433712 1.048496 -0.181298 0.048064
-0.162976 1.490827 0.461412 0.123462
0.349362 1.221966 -0.294730 0.048093
-0.042822 1.814408 -0.001532 0.152312
0.104140 1.723590 0.289046 0.338450
-0.450169 0.996334 0.397417 0.048874
-0.279292 1.245958 0.626207 0.080962
-0.143781 1.324534 0.573217 0.134873
-0.121824 1.613285 0.380101 0.104134
0.110926 1.594587 0.179855 0.109913
-0.357698 1.153087 0.113438 0.203818
0.205529 1.158623 0.184053 0.037297
0.491042 1.089041 0.500602 0.034818
0.238712 1.303033 0.677972 0.050514
-0.569717 1.320178 0.449382 0.254709
0.399152 1.433195 0.025560 0.122578
0.164783 0.883145 0.333689 0.024535
0.155040 1.209156 0.494754 0.050776
-0.405889 0.781436 0.286755 0.046995
0.373951 1.560711 0.460261 0.043450
0.352140 0.874899 0.367783 0.024703
-0.340802 1.681277 0.028582 0.265021
0.176768 1.154461 0.345447 0.042527
-0.199972 1.777862 0.420222 0.380437
-0.094713 1.494114 0.661665 0.061538
0.298336 1.292138 0.205913 0.061236
-0.526313 1.030567 0.149697 0.168564
0.300415 0.824469 0.210606 0.053001
0.202637 1.418646 0.088910 0.048601
0.370675 1.160631 0.428320 0.051160
-0.270109 0.957764 0.140052 0.141222
0.467907 1.099715 0.313661 0.045984
-0.101350 1.271504 0.695968 0.048592
-0.505593 1.181111 0.482918 0.071580
-0.398762 1.550965 0.387882 0.351600
0.221501 1.376024 0.522924 0.058143
0.173282 1.511089 0.627413 0.152567
-0.216039 1.593359 0.082091 0.342384
0.104924 1.056469 0.709272 0.034910
-0.629033 1.368726 -0.068177 0.638017
0.235067 1.709419 0.048535 0.091125
0.422728 1.461487 -0.154256 0.046770
-0.219059 1.197007 0.509653 0.048483
-0.241905 0.975177 0.508803 0.045725
0.078340 0.967310 0.453602 0.157378
-0.219243 1.731242 0.268824 0.301732
0.232855 1.595341 -0.063198 0.092425
0.153549 1.488018 -0.174213 0.149592
-0.026897 1.505504 -0.118610 0.057795
-0.035228 1.182709 0.429601 0.286508
0.097679 1.418905 0.220871 0.048112
-0.371815 0.959114 0.578285 0.051706
-0.640716 1.362180 0.248181 0.489373
0.503843 1.163596 0.194388 0.054249
-0.140201 0.659052 0.347706 0.040806
0.130841 1.524881 0.324623 0.096815
0.041854 1.605887 0.028066 0.072254
0.468206 0.969487 0.238598 0.052517
-0.326258 0.880713 0.383316 0.079849
-0.530340 1.239982 0.317703 0.285390
-0.084109 0.813633 0.213405 0.039191
-0.068600 1.533942 0.090587 0.049497
-0.200835 1.382795 0.173017 0.140336
-0.091675 1.880369 0.312265 0.475404
-0.205700 1.098515 0.695352 0.079297
-0.269284 1.831676 0.051565 0.332630
-0.207777 0.795366 0.366194 0.017067
-0.006447 0.696181 0.205621 0.031800
0.349031 1.008542 0.410877 0.040226
0.304465 1.446374 0.428690 0.204597
-0.460350 1.268981 0.080978 0.440980
-0.457448 1.289716 0.560314 0.071071
-0.040644 1.758511 0.444308 0.269662
0.511258 1.221339 -0.002047 0.064264
0.222845 0.873729 -0.088817 0.042563
0.384716 1.196484 0.100611 0.053380
0.369005 1.317142 -0.041841 0.064679
-0.304892 1.136208 0.415024 0.049538
-0.435707 1.769699 0.072707 0.435703
0.399909 1.273180 0.534623 0.140711
0.445504 1.655094 -0.028152 0.094576
-0.084768 0.906834 -0.200285 0.047111
-0.290737 1.471346 0.011610 0.260875
-0.148956 1.379693 0.332989 0.111711
-0.231808 1.081723 0.285133 0.049583
0.286596 1.207280 -0.058990 0.046946
0.297138 1.451972 0.630830 0.042298
-0.529108 1.583373 0.022135 0.725215
0.204838 1.346636 -0.025493 0.048682
0.237906 1.013926 0.601995 0.045514
-0.413064 1.677070 0.338568 0.424835
-0.370611 1.223541 0.245478 0.197698
0.318411 0.912492 0.559489 0.057987
-0.070024 1.475697 0.256371 0.039163
-0.260827 0.806330 0.494298 0.057926
-0.111663 1.007251 0.386105 0.019205
0.349176 0.820955 -0.036181 0.049161
-0.099768 1.651575 0.543540 0.231718
-0.196401 1.532520 -0.177668 0.066808
0.222699 1.161851 -0.402165 0.090331
-0.365129 1.129716 0.636388 0.050945
-0.143634 0.662986 0.040047 0.033794
0.048255 1.225377 -0.129829 0.045031
0.411030 1.626434 0.239348 0.384433
0.262797 0.983178 0.212092 0.038471
0.008326 1.548837 0.439162 0.107199
0.159704 1.815401 -0.044777 0.144011
-0.537540 1.679815 0.200173 0.545065
-0.010626 0.600290 0.308025 0.048717
-0.563470 1.462273 0.412008 0.459289
-0.401907 1.530942 0.544389 0.379428
0.124270 0.626285 0.258072 0.058372
-0.413429 1.385887 0.003843 0.446196
0.203131 1.842386 0.101941 0.180912
0.342429 1.661175 0.365570 0.039953
-0.475575 1.122643 0.266245 0.216549
-0.095126 1.346881 -0.110976 0.062279
-0.618219 1.336188 0.110819 0.625150
0.330027 1.536133 0.098975 0.275284
0.297613 1.155201 0.578407 0.041148
-0.487268 1.022109 -0.070540 0.245251
-0.126718 1.712091 0.140975 0.227978
0.210553 1.257704 0.085964 0.036670
-0.396629 1.635088 -0.118538 0.447050
-0.231994 0.836704 0.626070 0.048135
0.158230 1.710774 0.445885 0.316364
-0.164411 1.761223 -0.035171 0.131065
0.041984 1.054794 0.587588 0.094684
-0.036279 1.212813 -0.317014 0.117729
-0.365999 1.244778 -0.104753 0.363743
0.490479 0.889779 0.088661 0.055025
0.338805 1.793037 0.210371 0.495170
-0.439195 1.058787 -0.285598 0.356561
0.115798 1.452980 -0.010730 0.318761
-0.302679 0.861620 0.243808 0.049038
-0.365821 1.678375 0.483143 0.421025
-0.435899 0.833970 0.003648 0.053107
-0.324918 1.346037 0.133888 0.302539
-0.592645 1.568677 0.298880 0.537839
0.292259 1.448245 -0.073144 0.117349
0.099652 1.250758 -0.390021 0.115802
-0.027155 1.124753 -0.190884 0.066683
0.313331 1.051192 -0.263225 0.048354
-0.069182 1.126947 0.306184 0.049088
0.167282 1.109916 -0.037686 0.044930
-0.498794 0.899987 0.497945 0.065711
-0.299630 0.788077 0.090887 0.058048
0.070926 1.876686 0.266270 0.387030
-0.665036 1.102391 0.232954 0.121318
-0.591046 1.189219 0.120110 0.477048
0.120649 0.775292 0.096224 0.019479
0.093969 1.356003 -0.202484 0.053213
-0.045709 1.487649 -0.272296 0.053317
-0.162629 0.990841 -0.318947 0.144065
-0.151543 0.805461 -0.009112 0.020484
-0.214299 1.014433 -0.012214 0.091913
0.416437 0.782899 0.284820 0.041819
0.131812 1.037693 0.212313 0.019377
0.257738 1.090253 0.065933 0.031189
-0.172609 1.385001 0.030508 0.130236
0.041298 0.971468 0.308819 0.027244
0.046112 0.849654 0.658394 0.040064
-0.220294 1.680351 -0.173997 0.128482
-0.474497 1.038467 0.526701 0.050281
-0.475866 0.858767 -0.182457 0.354081
0.458842 1.665077 0.116110 0.136412
-0.341561 1.100761 -0.087487 0.251695
0.041408 1.562767 0.691895 0.045531
-0.269340 1.106504 -0.376248 0.284646
0.171861 1.619501 -0.201771 0.069889
0.282419 1.400007 -0.262388 0.057911
0.180117 1.719761 0.177222 0.181536
0.442508 1.426097 0.483705 0.047302
0.303026 0.985256 -0.079664 0.035586
-0.628334 1.477602 0.118665 0.708166
-0.255717 1.389070 -0.137838 0.166586
-0.042971 1.341345 -0.253696 0.048094
-0.061076 1.635308 -0.088907 0.044230
-0.081864 1.740907 0.294133 0.273709
-0.478764 1.154605 -0.002988 0.385722
0.096333 1.271438 0.242030 0.040373
-0.380688 1.442345 -0.117941 0.536632
-0.422419 1.508046 0.072246 0.451833
-0.235742 1.269961 -0.007250 0.286097
0.491934 0.934784 0.391829 0.047200
-0.695728 1.104935 0.089188 0.439101
-0.105902 0.863550 0.477313 0.040696
0.281518 0.918932 -0.239961 0.045744
-0.504958 1.341317 0.189949 0.382060
-0.392175 1.007774 0.253898 0.086441
0.415550 0.775200 0.137852 0.051918
0.319246 1.582837 0.582152 0.106308
-0.222015 1.204411 0.139915 0.177604
0.200812 1.574471 0.077832 0.181191
0.231820 1.772269 0.334741 0.396368
0.366015 1.658678 -0.137979 0.079232
0.071861 1.260181 0.383626 0.047988
-0.143238 1.069674 0.551282 0.056174
0.122097 1.334744 0.612771 0.049576
-0.400324 1.011303 0.086632 0.112404
-0.145000 0.907277 0.110410 0.064950
-0.596534 1.201083 -0.074929 0.445512
-0.123296 0.947817 0.261780 0.042364
-0.292333 1.463073 0.404346 0.216763
-0.179441 0.692456 0.476647 0.058286
0.287625 1.270601 0.455162 0.160630
-0.573409 0.893404 0.013450 0.196750
0.366033 0.954815 0.128335 0.055571
-0.162318 1.338707 -0.335687 0.161287
0.093741 1.140750 0.107275 0.044315
-0.154868 0.652794 -0.100075 0.042614
0.036087 1.047795 -0.337513 0.116148
-0.385235 1.363096 0.649951 0.052062
-0.416437 1.246916 -0.331144 0.432636
-0.493456 1.290899 -0.175099 0.499012
-0.330009 1.329132 -0.251435 0.410950
-0.314169 0.946725 -0.106247 0.176496
-0.162779 1.204914 0.365379 0.050849
0.052100 1.088498 0.382678 0.029595
-0.598743 0.972000 0.356726 0.049073
-0.591852 1.070656 0.009045 0.189452
-0.283329 0.914346 -0.303244 0.192538
0.260206 1.303196 -0.164857 0.049533
0.019197 0.774324 0.376067 0.081940
0.070522 1.261603 0.727492 0.057382
0.083896 1.832052 0.410043 0.389888
0.145131 1.389435 -0.332437 0.056623
0.342129 1.466439 0.230911 0.173981
0.139178 1.471435 0.452091 0.267485
0.506954 1.016118 -0.056279 0.054049
-0.210499 0.709626 0.158759 0.039199
-0.295971 0.772542 -0.063798 0.150888
0.039109 1.322953 0.498784 0.194484
-0.033930 0.773695 0.572588 0.033603
-0.509319 0.892885 0.147384 0.195261
-0.367790 1.574266 -0.304977 0.685730
0.294927 1.537801 -0.236048 0.065226
0.516465 1.379292 -0.068130 0.054780
0.559325 1.260446 0.361024 0.053848
-0.213385 1.518185 0.294163 0.181703
0.470439 1.522400 0.117848 0.320968
0.123362 1.013527 -0.212316 0.045985
-0.053524 1.045233 0.712260 0.047484
-0.306129 1.408486 0.259491 0.225434
0.257121 0.661099 0.138430 0.043280
-0.144115 1.520137 -0.020873 0.196924
0.250171 0.806968 0.487018 0.039256
-0.013722 1.376013 0.708262 0.132063
0.247572 1.164980 -0.215217 0.042967
0.057029 0.888788 0.202946 0.035184
-0.187065 0.994036 -0.147814 0.066627
-0.497952 0.888656 0.291645 0.049326
-0.032571 1.882870 0.136206 0.369965
0.135919 0.738883 0.459067 0.043782
-0.299391 0.682435 0.289571 0.034691
-0.246370 0.792798 -0.221616 0.138744
0.201931 1.269577 -0.298448 0.048644
0.588973 1.416835 0.145093 0.084807
-0.382634 0.668742 0.131559 0.052122
0.446769 1.172833 -0.115731 0.048051
0.409581 1.287402 -0.190002 0.050686
0.550948 1.522308 0.227415 0.378475
-0.558709 1.098137 0.386246 0.048509
0.386717 1.306346 0.363701 0.186474
-0.391811 1.366334 0.379723 0.254884
-0.226553 1.419731 0.710554 0.084708
0.369624 1.042577 0.547996 0.051650
0.337034 1.748623 -0.037819 0.138065
0.082612 1.182072 -0.254400 0.045333
-0.161243 1.846231 0.158872 0.344384
-0.068802 1.352107 0.167858 0.048427
