# condition_7 evaluation results
# Format: x y z distance
# Total data points: 300
#
0.212220 0.749214 0.328392 0.048938
-0.109725 0.946240 0.604779 0.056245
0.164994 0.873573 0.573797 0.047694
0.540022 1.061082 0.110890 0.049739
0.421478 1.481313 0.354122 0.269313
0.228269 1.573706 0.463732 0.352344
0.499558 1.378873 0.261728 0.225458
-0.277113 1.646050 0.386373 1.014520
-0.294486 1.407081 0.556515 0.303753
-0.504410 1.505616 0.194194 0.845334
0.024446 1.436783 0.593542 0.262301
-0.059432 1.167180 0.619281 0.114448
0.260206 1.303196 -0.164857 0.194472
0.192223 0.975824 0.027143 0.049154
0.345144 1.183257 0.273963 0.127490
0.199650 1.337762 0.354018 0.046055
-0.044646 1.621371 0.237357 0.930957
0.011287 1.407175 0.383624 0.416490
-0.266359 1.289784 0.346479 0.227609
0.070522 1.261603 0.727492 0.094048
0.043289 1.648292 0.576713 0.292744
-0.347096 1.785867 0.225488 1.106700
-0.259151 1.577873 0.535689 0.405054
0.149527 1.196716 0.631234 0.056475
0.220958 0.968793 0.440602 0.058528
0.253982 1.615246 0.229816 0.069610
0.079139 1.698419 -0.073421 0.408538
0.390530 1.054136 0.034803 0.057404
0.045353 1.741362 0.148665 0.483951
-0.356155 1.560769 0.186127 0.872815
0.349362 1.221966 -0.294730 0.241249
0.433712 1.048496 -0.181298 0.129160
-0.042822 1.814408 -0.001532 0.540540
0.104140 1.723590 0.289046 0.661952
-0.450169 0.996334 0.397417 0.219395
-0.279292 1.245958 0.626207 0.089796
-0.143781 1.324534 0.573217 0.194874
-0.121824 1.613285 0.380101 0.595421
-0.357698 1.153087 0.113438 0.467430
0.110926 1.594587 0.179855 0.268276
0.205529 1.158623 0.184053 0.040443
0.491042 1.089041 0.500602 0.065397
-0.226553 1.419731 0.710554 0.178887
0.083896 1.832052 0.410043 0.609747
-0.569717 1.320178 0.449382 0.464654
0.238712 1.303033 0.677972 0.148923
-0.558709 1.098137 0.386246 0.352908
0.399152 1.433195 0.025560 0.098776
0.145131 1.389435 -0.332437 0.317126
0.342129 1.466439 0.230911 0.268021
0.019197 0.774324 0.376067 0.044773
0.164783 0.883145 0.333689 0.049951
0.155040 1.209156 0.494754 0.145560
0.506954 1.016118 -0.056279 0.078171
-0.405889 0.781436 0.286755 0.121973
0.373951 1.560711 0.460261 0.382157
0.352140 0.874899 0.367783 0.062718
-0.340802 1.681277 0.028582 0.981318
0.176768 1.154461 0.345447 0.118222
0.298336 1.292138 0.205913 0.043568
-0.199972 1.777862 0.420222 0.643896
-0.094713 1.494114 0.661665 0.403875
-0.295971 0.772542 -0.063798 0.058137
-0.526313 1.030567 0.149697 0.409257
0.300415 0.824469 0.210606 0.069287
0.139178 1.471435 0.452091 0.028310
-0.270109 0.957764 0.140052 0.255337
0.202637 1.418646 0.088910 0.105272
-0.210499 0.709626 0.158759 0.046672
0.467907 1.099715 0.313661 0.129771
-0.101350 1.271504 0.695968 0.063585
-0.505593 1.181111 0.482918 0.351168
-0.398762 1.550965 0.387882 0.340965
0.221501 1.376024 0.522924 0.264895
-0.216039 1.593359 0.082091 0.884837
0.104924 1.056469 0.709272 0.365364
0.173282 1.511089 0.627413 0.305537
-0.629033 1.368726 -0.068177 0.742489
0.235067 1.709419 0.048535 0.452996
0.422728 1.461487 -0.154256 0.363509
-0.219059 1.197007 0.509653 0.209542
-0.241905 0.975177 0.508803 0.130757
0.078340 0.967310 0.453602 0.057317
0.039109 1.322953 0.498784 0.274052
-0.219243 1.731242 0.268824 1.056520
0.232855 1.595341 -0.063198 0.372471
0.153549 1.488018 -0.174213 0.292408
-0.026897 1.505504 -0.118610 0.244522
-0.035228 1.182709 0.429601 0.301977
0.097679 1.418905 0.220871 0.219967
-0.371815 0.959114 0.578285 0.049345
-0.640716 1.362180 0.248181 0.774361
-0.161243 1.846231 0.158872 1.157170
0.503843 1.163596 0.194388 0.175210
-0.509319 0.892885 0.147384 0.290307
-0.140201 0.659052 0.347706 0.046312
0.468206 0.969487 0.238598 0.080522
-0.530340 1.239982 0.317703 0.631585
-0.326258 0.880713 0.383316 0.080249
-0.084109 0.813633 0.213405 0.158855
0.130841 1.524881 0.324623 0.397978
0.041854 1.605887 0.028066 0.318524
-0.068600 1.533942 0.090587 0.334189
-0.200835 1.382795 0.173017 0.697770
-0.091675 1.880369 0.312265 1.192610
-0.205700 1.098515 0.695352 0.054428
-0.207777 0.795366 0.366194 0.040809
-0.006447 0.696181 0.205621 0.050345
0.349031 1.008542 0.410877 0.087792
0.304465 1.446374 0.428690 0.287465
-0.460350 1.268981 0.080978 0.593523
-0.457448 1.289716 0.560314 0.386717
-0.040644 1.758511 0.444308 0.286408
-0.269284 1.831676 0.051565 0.886286
0.222845 0.873729 -0.088817 0.048267
0.384716 1.196484 0.100611 0.117140
0.369005 1.317142 -0.041841 0.080390
-0.304892 1.136208 0.415024 0.140048
-0.435707 1.769699 0.072707 1.079940
0.511258 1.221339 -0.002047 0.077608
-0.382634 0.668742 0.131559 0.116090
0.386717 1.306346 0.363701 0.314045
0.399909 1.273180 0.534623 0.172050
0.445504 1.655094 -0.028152 0.500879
-0.084768 0.906834 -0.200285 0.106834
-0.290737 1.471346 0.011610 0.750550
-0.148956 1.379693 0.332989 0.735025
-0.231808 1.081723 0.285133 0.078669
0.286596 1.207280 -0.058990 0.045645
0.297138 1.451972 0.630830 0.248161
0.409581 1.287402 -0.190002 0.173695
-0.529108 1.583373 0.022135 0.913235
0.204838 1.346636 -0.025493 0.138601
0.237906 1.013926 0.601995 0.156545
-0.370611 1.223541 0.245478 0.291056
0.318411 0.912492 0.559489 0.076778
-0.070024 1.475697 0.256371 0.802924
-0.260827 0.806330 0.494298 0.048090
-0.111663 1.007251 0.386105 0.268773
0.349176 0.820955 -0.036181 0.056723
-0.099768 1.651575 0.543540 0.308742
-0.196401 1.532520 -0.177668 0.703966
0.222699 1.161851 -0.402165 0.276182
-0.365129 1.129716 0.636388 0.052644
-0.143634 0.662986 0.040047 0.053526
0.048255 1.225377 -0.129829 0.047273
0.411030 1.626434 0.239348 0.238687
0.262797 0.983178 0.212092 0.048135
0.008326 1.548837 0.439162 0.114526
0.159704 1.815401 -0.044777 0.566743
-0.537540 1.679815 0.200173 1.023970
-0.010626 0.600290 0.308025 0.050619
-0.563470 1.462273 0.412008 0.548795
-0.401907 1.530942 0.544389 0.409389
-0.033930 0.773695 0.572588 0.044923
0.203131 1.842386 0.101941 0.522425
0.297613 1.155201 0.578407 0.067202
-0.095126 1.346881 -0.110976 0.429029
0.342429 1.661175 0.365570 0.419980
-0.618219 1.336188 0.110819 0.717656
-0.475575 1.122643 0.266245 0.297325
0.330027 1.536133 0.098975 0.320398
0.516465 1.379292 -0.068130 0.239898
0.294927 1.537801 -0.236048 0.414725
-0.367790 1.574266 -0.304977 0.902340
0.559325 1.260446 0.361024 0.092063
-0.213385 1.518185 0.294163 0.396344
0.470439 1.522400 0.117848 0.175022
