# condition_6 evaluation results
# Format: x y z distance
# Total data points: 300
#
0.212220 0.749214 0.328392 0.067635
-0.109725 0.946240 0.604779 0.073696
0.540022 1.061082 0.110890 0.046780
0.164994 0.873573 0.573797 0.055560
0.421478 1.481313 0.354122 0.023341
0.228269 1.573706 0.463732 0.045062
0.499558 1.378873 0.261728 0.034611
-0.277113 1.646050 0.386373 0.056671
-0.294486 1.407081 0.556515 0.047726
-0.504410 1.505616 0.194194 0.207017
0.024446 1.436783 0.593542 0.043126
-0.059432 1.167180 0.619281 0.014335
0.260206 1.303196 -0.164857 0.037159
0.192223 0.975824 0.027143 0.036482
0.345144 1.183257 0.273963 0.036267
0.199650 1.337762 0.354018 0.043639
-0.044646 1.621371 0.237357 0.035675
0.011287 1.407175 0.383624 0.042579
-0.266359 1.289784 0.346479 0.063292
0.043289 1.648292 0.576713 0.082357
0.070522 1.261603 0.727492 0.069745
0.253982 1.615246 0.229816 0.069405
-0.347096 1.785867 0.225488 0.048670
-0.259151 1.577873 0.535689 0.033693
0.149527 1.196716 0.631234 0.054400
0.511111 1.289379 0.125321 0.037760
0.220958 0.968793 0.440602 0.023062
0.079139 1.698419 -0.073421 0.052548
0.390530 1.054136 0.034803 0.023144
0.045353 1.741362 0.148665 0.022435
-0.356155 1.560769 0.186127 0.110570
-0.162976 1.490827 0.461412 0.038513
0.433712 1.048496 -0.181298 0.053466
0.349362 1.221966 -0.294730 0.048946
-0.042822 1.814408 -0.001532 0.022024
0.104140 1.723590 0.289046 0.284563
-0.450169 0.996334 0.397417 0.049736
-0.279292 1.245958 0.626207 0.024924
-0.143781 1.324534 0.573217 0.029785
-0.121824 1.613285 0.380101 0.017781
0.110926 1.594587 0.179855 0.062908
-0.357698 1.153087 0.113438 0.270747
0.205529 1.158623 0.184053 0.024388
0.491042 1.089041 0.500602 0.028538
-0.226553 1.419731 0.710554 0.022757
0.083896 1.832052 0.410043 0.047996
0.238712 1.303033 0.677972 0.032999
-0.569717 1.320178 0.449382 0.049323
-0.558709 1.098137 0.386246 0.048234
0.399152 1.433195 0.025560 0.046115
0.145131 1.389435 -0.332437 0.046407
0.342129 1.466439 0.230911 0.052717
0.019197 0.774324 0.376067 0.030729
0.164783 0.883145 0.333689 0.028150
0.155040 1.209156 0.494754 0.037596
0.298336 1.292138 0.205913 0.021073
0.506954 1.016118 -0.056279 0.071425
-0.405889 0.781436 0.286755 0.032675
0.373951 1.560711 0.460261 0.042237
0.352140 0.874899 0.367783 0.039085
-0.340802 1.681277 0.028582 0.047486
0.176768 1.154461 0.345447 0.028554
-0.094713 1.494114 0.661665 0.065304
-0.199972 1.777862 0.420222 0.064156
-0.295971 0.772542 -0.063798 0.036125
