outer_iter,inner_iter,effective_lr,phi_norm,phi_per_particle_mean,phi_per_particle_max,score_grad_mean,score_grad_max,term1_norm,term2_norm,term1_1d_mean,term2_1d_mean,term1_per_particle,term2_per_particle,term1_term2_ratio,h,mean_pairwise_dist,min_pairwise_dist,kernel_mean,clip_frac,ll_mean,ll_std,lp_mean,lp_std,n_projected_dirs,variance_explained
0,0,0.03,0.782965898513794,0.10955536365509033,0.1606091558933258,12.374384880065918,41.12403106689453,0.782965898513794,0.0,2.7555414855480196,4.489739763736725,0.10955536365509033,0.0,0.6137419161360558,0.014219581312499941,3.5003502368927,0.9842103719711304,0.0,0.0,-1.1194555759429932,0.9198018908500671,-16.51384925842285,4.675281524658203,20,0.9309548356380487
0,5,0.028846153846153844,0.6781269907951355,0.09528303891420364,0.1217445656657219,12.076269149780273,23.285673141479492,0.6781269907951355,0.0,2.6434582471847534,4.4983869075775145,0.09528303891420364,0.0,0.5876458164885414,0.014188780449330807,3.529731273651123,0.9903911352157593,0.0,0.0,-1.1097102165222168,0.9127981066703796,-16.658504486083984,4.669158458709717,20,0.9224503411315313
0,10,0.02769230769230769,0.7525454759597778,0.10584794729948044,0.1276363730430603,11.951891899108887,18.317258834838867,0.7525454759597778,0.0,2.665060794353485,4.609603917598724,0.10584794729948044,0.0,0.5781539676714333,0.01420569873880595,3.557913303375244,0.9980155229568481,0.0,0.0,-1.101533055305481,0.9071177244186401,-16.801687240600586,4.673964977264404,20,0.9217845279325066
0,15,0.02653846153846154,0.7571427822113037,0.10647546499967575,0.13508197665214539,11.932257652282715,17.545875549316406,0.7571427822113037,0.0,2.8187954425811768,4.450973629951477,0.10647546499967575,0.0,0.6332986166471416,0.014401235920377075,3.5830612182617188,1.0105173587799072,0.0,0.0,-1.09229576587677,0.9008588194847107,-16.93306541442871,4.6769795417785645,20,0.9242738534906273
0,20,0.025384615384615384,0.785619854927063,0.10832242667675018,0.15614385902881622,12.666586875915527,52.072654724121094,0.785619854927063,0.0,2.722873830795288,4.298313808441162,0.10832242667675018,0.0,0.6334748815798473,0.014836557651869952,3.6052045822143555,1.0217905044555664,0.0,0.0,-1.0841052532196045,0.8957982063293457,-17.047149658203125,4.674832344055176,20,0.9422612976193879
0,25,0.02423076923076923,0.6480602025985718,0.09093154966831207,0.11219636350870132,11.8214693069458,16.5435848236084,0.6480602025985718,0.0,2.846999853849411,4.293757593631744,0.09093154966831207,0.0,0.6630555618863809,0.015382748120464385,3.625322103500366,1.0264123678207397,0.0,0.0,-1.0754902362823486,0.8896552324295044,-17.150615692138672,4.673269271850586,20,0.9246324523020452
0,30,0.023076923076923075,0.6259540915489197,0.08742354810237885,0.11476875841617584,11.92166805267334,16.47077751159668,0.6259540915489197,0.0,2.775026535987854,4.291049444675446,0.08742354810237885,0.0,0.6467011326171618,0.015238850773312152,3.641469717025757,1.028897762298584,0.0,0.0,-1.066184163093567,0.8834149837493896,-17.233633041381836,4.670563697814941,20,0.9224671050553671
0,35,0.02192307692307692,0.6912916302680969,0.0949094370007515,0.1474646031856537,12.367694854736328,36.774837493896484,0.6912916302680969,0.0,2.609878408908844,4.300779044628143,0.0949094370007515,0.0,0.6068385243293755,0.015272626443766058,3.658632755279541,1.032170057296753,0.0,0.0,-1.0578866004943848,0.8774981498718262,-17.32899284362793,4.66945743560791,20,0.9324078259232026
0,40,0.02076923076923077,0.5526655912399292,0.07752633094787598,0.10158368945121765,11.917594909667969,16.65962791442871,0.5526655912399292,0.0,2.7861760199069976,4.189522302150726,0.07752633094787598,0.0,0.6650342972220702,0.015875424724072218,3.676133155822754,1.0366392135620117,0.0,0.0,-1.0529425144195557,0.8732712864875793,-17.425458908081055,4.667937278747559,20,0.9253636396201249
0,45,0.019615384615384618,0.5997132658958435,0.08428333699703217,0.10624632239341736,12.10881233215332,18.606393814086914,0.5997132658958435,0.0,2.8465617835521697,4.209485042095184,0.08428333699703217,0.0,0.6762256558905249,0.015848576091229916,3.6917600631713867,1.0409705638885498,0.0,0.0,-1.0473377704620361,0.8707489967346191,-17.511272430419922,4.669986248016357,20,0.9253250554439
0,50,0.01846153846153846,0.5480694770812988,0.07687275856733322,0.09657710045576096,11.992291450500488,16.93021011352539,0.5480694770812988,0.0,2.8427302300930024,4.130077278614044,0.07687275856733322,0.0,0.688299525244466,0.01614094723481685,3.7045326232910156,1.0455102920532227,0.0,0.0,-1.041778564453125,0.8668391108512878,-17.579790115356445,4.670509338378906,20,0.9262024824436615
0,55,0.01730769230769231,0.5438411235809326,0.0765063613653183,0.09108485281467438,12.026890754699707,17.017290115356445,0.5438411235809326,0.0,2.7255279541015627,4.173542368412018,0.0765063613653183,0.0,0.6530490680363197,0.015828431537374853,3.7178421020507812,1.049607276916504,0.0,0.0,-1.0371969938278198,0.8630992770195007,-17.654579162597656,4.671858310699463,20,0.925268327384305
0,60,0.01615384615384615,0.5215229392051697,0.07292540371417999,0.09089969098567963,11.981035232543945,17.032983779907227,0.5215229392051697,0.0,2.76130228638649,4.150286173820495,0.07292540371417999,0.0,0.6653281655140919,0.01618246959988028,3.7303245067596436,1.0557221174240112,0.0,0.0,-1.0332927703857422,0.8596153855323792,-17.725540161132812,4.669024467468262,20,0.9248921482419131
0,65,0.015,0.5331874489784241,0.07479959726333618,0.09974130243062973,11.988483428955078,17.014455795288086,0.5331874489784241,0.0,2.7467173039913177,4.192127513885498,0.07479959726333618,0.0,0.6552084341169067,0.015965808439068495,3.7417514324188232,1.0626620054244995,0.0,0.0,-1.029739260673523,0.8582103848457336,-17.79161834716797,4.664700508117676,20,0.9243434351845876
0,70,0.013846153846153845,0.6028260588645935,0.08456256985664368,0.10383452475070953,12.363421440124512,28.95475959777832,0.6028260588645935,0.0,2.700414574146271,4.299392116069794,0.08456256985664368,0.0,0.628092181695398,0.01548139441292733,3.753915548324585,1.067152976989746,0.0,0.0,-1.0295751094818115,0.8577802181243896,-17.8640079498291,4.659745693206787,20,0.9314473935495338
0,75,0.012692307692307694,0.5654147267341614,0.07948365062475204,0.0974075123667717,12.335043907165527,27.806806564331055,0.5654147267341614,0.0,2.5962072730064394,4.231483542919159,0.07948365062475204,0.0,0.6135454023804149,0.015422141086310149,3.764444351196289,1.0720610618591309,0.0,0.0,-1.0247036218643188,0.8540367484092712,-17.92289161682129,4.65168571472168,20,0.9285446257476891
0,80,0.012,0.5800487995147705,0.08131381124258041,0.10341668128967285,12.367128372192383,28.796689987182617,0.5800487995147705,0.0,2.595117974281311,4.240126132965088,0.08131381124258041,0.0,0.6120379188971354,0.015538729960098863,3.773801565170288,1.0774447917938232,0.0,0.0,-1.0217660665512085,0.8519531488418579,-17.976686477661133,4.647956371307373,20,0.9290015326675479
0,85,0.012,0.5371078252792358,0.07546122372150421,0.0947485864162445,12.168715476989746,17.082002639770508,0.5371078252792358,0.0,2.6329518258571625,4.18152471780777,0.07546122372150421,0.0,0.629663102227823,0.01586027634330094,3.78317928314209,1.0820235013961792,0.0,0.0,-1.0191031694412231,0.8501319885253906,-18.02994155883789,4.646121501922607,20,0.9245738789155018
0,90,0.012,0.7832261323928833,0.10930965095758438,0.14953412115573883,13.172980308532715,53.13601303100586,0.7832261323928833,0.0,2.661187481880188,4.177364540100098,0.10930965095758438,0.0,0.6370493779832824,0.015554046723991632,3.7919390201568604,1.0860246419906616,0.0,0.0,-1.0157263278961182,0.8482505679130554,-18.08010482788086,4.64491081237793,20,0.9404729099625759
0,95,0.012,0.9108710289001465,0.12276297062635422,0.1815783828496933,12.958147048950195,57.571529388427734,0.9108710289001465,0.0,2.8439211547374725,4.108837735652924,0.12276297062635422,0.0,0.6921473510770201,0.01609952882863581,3.8007819652557373,1.089598298072815,0.0,0.0,-1.014490008354187,0.847990095615387,-18.13078498840332,4.644782543182373,20,0.9440073961683018
0,99,0.012,0.9570988416671753,0.12849974632263184,0.1886661797761917,13.084233283996582,63.47078323364258,0.9570988416671753,0.0,2.826749849319458,4.113276255130768,0.12849974632263184,0.0,0.6872258691094383,0.01593152480199933,3.807469367980957,1.090793251991272,0.0,0.0,-1.010984182357788,0.8457908034324646,-18.168781280517578,4.646717548370361,20,0.9476255534594864
1,0,0.03,1.3610913753509521,0.18681392073631287,0.2671844959259033,15.753040313720703,95.92279052734375,1.3610913753509521,0.0,3.369316303730011,4.149338066577911,0.18681392073631287,0.0,0.8120129643976662,0.01603532056324184,3.809471845626831,1.0912973880767822,0.0,0.0,-2.1975018978118896,1.1862688064575195,-18.180580139160156,4.647128582000732,20,0.9516551871321755
1,5,0.028846153846153844,0.6457338333129883,0.09052268415689468,0.12416913360357285,15.088093757629395,42.83942794799805,0.6457338333129883,0.0,3.191910171508789,4.147367978096009,0.09052268415689468,0.0,0.7696230930958156,0.015930248028598725,3.824289083480835,1.0937495231628418,0.0,0.0,-2.187558650970459,1.1782710552215576,-18.23968505859375,4.647658824920654,20,0.9236742356011284
1,10,0.02769230769230769,0.6745889782905579,0.09472857415676117,0.11770039796829224,14.482720375061035,26.431543350219727,0.6745889782905579,0.0,3.290119671821594,4.0831735014915465,0.09472857415676117,0.0,0.805775133145761,0.016482086619362235,3.8410353660583496,1.0960122346878052,0.0,0.0,-2.1658198833465576,1.1703497171401978,-18.327463150024414,4.657060146331787,20,0.9157232140794327
1,15,0.02653846153846154,0.6511881947517395,0.0914624035358429,0.108167365193367,14.421919822692871,31.474334716796875,0.6511881947517395,0.0,3.19025861620903,4.094271075725556,0.0914624035358429,0.0,0.779200633569109,0.01640134621411562,3.857175588607788,1.1009023189544678,0.0,0.0,-2.1426215171813965,1.162199854850769,-18.410694122314453,4.663670539855957,20,0.9220979893984549
1,20,0.025384615384615384,0.752892255783081,0.10550757497549057,0.13414719700813293,14.60269832611084,30.974992752075195,0.752892255783081,0.0,3.2049174129962923,4.177155935764313,0.10550757497549057,0.0,0.7672486884093002,0.016104652546346188,3.8717041015625,1.1034963130950928,0.0,0.0,-2.118997812271118,1.1556611061096191,-18.481290817260742,4.667698860168457,20,0.9204952572011128
1,25,0.02423076923076923,0.6249920725822449,0.0880778357386589,0.1043453961610794,14.249159812927246,23.29679298400879,0.6249920725822449,0.0,3.2144629776477815,4.06340594291687,0.0880778357386589,0.0,0.7910760142611584,0.016435616905800997,3.88449764251709,1.1066797971725464,0.0,0.0,-2.097935676574707,1.1514203548431396,-18.543212890625,4.66318416595459,20,0.9129185938797069
1,30,0.023076923076923075,0.6268193125724792,0.08804868161678314,0.11791536211967468,14.1545991897583,18.74904441833496,0.6268193125724792,0.0,3.139332503080368,4.10334678888321,0.08804868161678314,0.0,0.765066338430242,0.01644235267303884,3.898939847946167,1.1140260696411133,0.0,0.0,-2.081531286239624,1.1451315879821777,-18.6201114654541,4.658141613006592,20,0.9144947034740366
